transcript_id	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
t1	2.088937356	3.730544296	7.045980988	4.652307921	4.498534668	3.828113881	8.652223338	5.451090543	2.895078451	6.300685931	5.088248628	8.797282072	6.751867489	8.634329171	9.662420559	6.877461997	3.789250451	6.644794565	6.303212267	1.50064524	0.618414448	1.318908645	6.253528233	9.751102503	3.232019991	2.76273398	2.883928509	8.959100452	8.899562778	8.647042579	4.215847467	0.05867031	0.645651009	2.711112277	1.18481878	1.035793424	2.972992683	4.92301318	7.621024915	3.367761156	7.660494423	2.426539142	9.819938555	7.987400275	3.36673582
t2	0.606910889	0.904290225	0.416017191	0.204056363	0.320888968	0.600886667	0.042253419	0.276062501	0.01137455	0.458297659	0.236066241	0.145674239	0.084089871	0.073716556	0.903167989	0.167011684	0.371749977	0.99031265	0.622816701	0.605633403	0.825343506	0.5054742	0.389672449	0.548636968	0.843409347	0.488597599	0.02007513	0.517771225	0.902790304	0.895798842	0.915943027	0.551242967	0.304919122	0.432659778	0.752404638	0.887298589	0.148004049	0.586337832	0.39224879	0.254047681	0.955028291	0.66572885	0.010583895	0.144004403	0.916600432
t3	78.21509118	77.65227479	9.21387671	98.53374496	8.91075503	36.94789942	90.86762566	82.59876474	82.31720774	28.43736165	86.22481194	89.82571441	91.23102205	88.81157503	41.08046787	12.39506024	67.48602187	67.19416365	72.40462787	50.08481616	24.35618309	56.13916604	59.55398769	99.56272652	65.96433042	54.06329106	2.611433516	64.44934203	49.07681288	72.59788624	52.3932274	32.49587678	46.91450948	58.48763339	33.13623101	52.20233134	52.52490568	85.22960868	39.87449098	59.0608467	68.82138134	41.85049289	57.15296539	67.81461135	64.53442584
t4	3.618205282	3.715267655	2.456799369	1.508181151	3.328360953	0.016560504	1.610089448	3.071792959	2.734788298	2.90815632	0.086019166	4.079720509	1.967055365	2.145848614	3.218542561	3.704663514	1.458731204	1.222530859	2.919459728	1.231564912	1.859776643	1.147493906	3.331122271	3.728191631	0.30731721	3.507374953	3.234594976	2.653529082	1.556343499	4.106001588	2.561532536	1.373101721	3.680334507	1.404122259	3.047380337	0.329045101	1.417096312	2.5779844	3.508286524	1.120068439	1.532616974	0.245552831	3.513255019	2.265008329	1.420199848
t5	7.851429666	13.00286557	12.40411501	4.771292432	12.57022987	8.289223575	6.947632537	7.700043199	0.556835372	3.151718892	13.34985744	10.6166353	14.0421549	7.319190245	6.596722856	13.04519447	2.791663353	8.836830413	6.865176041	8.073932637	12.03401667	9.430896844	12.21776545	12.24721298	13.03778245	10.7718883	9.634086845	3.341701772	4.940111776	5.774882143	11.51809794	1.441659351	7.462903114	11.80129394	2.966318657	7.745684572	10.3187378	11.71896729	5.635891022	14.11516011	5.357976577	2.456880542	10.39426243	13.06243011	2.699668766
t6	82.53212207	36.57974619	3.593858535	11.7952246	123.8585693	18.45777147	107.4736299	76.08938259	6.832247968	58.85989077	109.1645957	31.12763585	132.2374194	15.1490344	52.39957473	17.26360724	121.1264202	9.322004289	30.82604474	106.6813206	148.1419174	141.4574028	107.4866286	99.83999248	47.21594706	87.13703982	69.72293532	78.69059558	13.51851951	128.5324248	121.8038643	84.85516075	69.90724211	41.22393752	24.31104448	49.13663159	10.40513923	8.992574754	105.5472531	13.53322024	35.20261957	21.0312591	140.0475159	95.08551873	64.09744
t7	0.901755648	2.403909818	1.028884849	1.60968822	1.976844408	0.942415222	0.808659024	0.480508898	0.83248838	0.093742951	2.87469234	0.152091945	1.767794416	0.137152535	0.004473639	0.853628852	2.879466788	1.872374532	0.970311861	0.77834077	2.16894003	1.30387664	2.567373482	2.005058371	1.30922488	0.858781425	2.665390815	0.373237111	1.561180919	0.174514666	2.970686281	0.563710257	1.638573063	2.240543989	2.909456056	1.55075676	2.684999554	1.188401527	0.367239109	0.054078629	0.597515985	2.984124852	0.961747421	2.757580058	2.934903985
t8	8.422642654	7.384214574	8.064088244	9.48553674	17.4306451	19.4494133	13.55375825	6.909694824	16.44427307	5.894300251	8.793928857	19.665197	9.541877314	18.15283195	19.31273887	11.14101902	2.709321474	13.20454629	17.83729117	8.728839147	6.839229735	4.968543541	3.303324427	8.386666679	8.433787427	12.26459617	17.11675172	4.578021577	7.020257733	4.981901605	3.716318272	13.20717869	5.065745761	14.82862405	14.94650388	3.942587506	11.0088368	12.79958472	0.019481008	13.66338663	10.22942764	15.09249898	5.425526938	15.54858797	0.702209617
t9	1.090341658	0.771071815	0.780471906	0.795231856	1.314472414	0.447795052	1.960834242	0.861895599	1.601726474	0.519963074	1.075785841	1.551382384	1.464647907	0.970923698	1.815281617	1.484366002	1.111749203	0.292046135	1.412452621	0.552852548	0.092026681	1.380196491	1.456663016	1.286212779	0.477444946	0.11654295	0.669615661	1.592949912	1.020533876	0.904049416	1.431819958	0.422319563	1.203702341	0.819768897	0.541421872	1.046474733	1.624805061	0.040383456	1.246583435	1.961033028	0.28739142	1.737585093	1.715102096	0.558989568	1.315330005
t10	0.146419688	0.474012088	0.222349883	0.439741713	0.036147866	0.055288179	0.205794695	0.49298768	0.202552915	0.214230164	0.462400226	0.287865314	0.110822551	0.462683556	0.158667333	0.367079804	0.130408453	0.319779957	0.446282509	0.348461088	0.358957898	0.09654367	0.313459786	0.498667447	0.424734751	0.475340572	0.135105066	0.12680295	0.080106502	0.21503788	0.13096665	0.098711147	0.410003229	0.027477146	0.238301809	0.272884603	0.497712807	0.389640154	0.474707344	0.409388933	0.09502405	0.417412288	0.208729825	0.239817133	0.212886214
